,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
63,1100,2110330034,88,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 100 sq.m., Property Status: Good, Floor: 2nd, 1 Level(s), 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heati ...                        ",12.5
64,1250,218408864,89,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - Athens, Kolonaki, Apartment For Rent, 89 sq.m., Property Status: Amazing, Floor: 2nd, 1 Level(s), 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Hea ...                        ",14.04494382
65,1500,2110574634,110,2,Plateia Mavili (Athens)," 24/12/2020 - Apartment of 110 sq.m. fully renovated for Sale.  The property is located on the 1st floor of the building and consists of an airy living, dining r ...                        ",13.63636364
66,500,2110490766,100,3,Plateia Koliatsou (Athens), 24/12/2020 -  ,5
67,500,2110479838,71,2,Plateia Vathis (Athens), 24/12/2020 -  ,7.042253521
68,560,219891530,70,2,Thiseio (Athens), 24/12/2020 -  ,8
69,630,2110489317,72,2,Agios Panteleimonas (Athens), 24/12/2020 -  ,8.75
70,700,2110260075,72,2,Fix (Koukaki - Makrygianni), 24/12/2020 -  ,9.722222222
71,500,2110279548,85,2,Agios Nikolaos (Athens), 24/12/2020 -  ,5.882352941
72,480,2110485603,100,0,Plateia Amerikis (Athens), 24/12/2020 -  ,4.8
73,500,2110412042,92,2,Metaxourgeio (Athens), 24/12/2020 -  ,5.434782609
74,340,2110127675,51,1,akadimia Platonos (Kolonos - Kolokynthous), 24/12/2020 -  ,6.666666667
75,3500,2110131094,290,3,Plaka (Athens)," 24/12/2020 - Historical Centre, Plaka - Detached House 290sqm, divided in 3 levels, 1st floor, in excellent condition. Consists of 3 bedrooms, a living room, a  ...                        ",12.06896552
76,820,2110474123,50,1,Koukaki - Makrygianni (Athens - Center), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 820 € /month     6 to 12 month lease: 880 € /month   2 to 6 month lease: 990 € /month     1 ...                        ,16.4
77,850,2110469514,61,1,Girokomeio (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 850 € /month     6 to 12 month lease: 900 € /month   2 to 6 month lease: 980 € /month     1 ...                        ,13.93442623
78,1210,2110302277,80,2,Kolonaki - Lykavittos (Athens - Center)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,210 € /month     6 to 12 month lease: 1,280 € /month   2 to 6 month lease: 1,420 € /month ...                        ",15.125
79,1290,219584873,80,2,Kolonaki (Kolonaki - Lykavittos)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,290 € /month     6 to 12 month lease: 1,350 € /month   2 to 6 month lease: 1,450 € /month ...                        ",16.125
80,630,2110425615,56,1,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 630 € /month     6 to 12 month lease: 670 € /month   2 to 6 month lease: 710 € /month     1 ...                        ,11.25
